Year,Kyn,Units,Tegund færni,Value
2003,,Lágmarksfærni við 15 ára aldur,Stærðfræði,85.0
2003,,Lágmarksfærni við 15 ára aldur,Lestur,81.5
2003,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,88.5
2003,Kona,Lágmarksfærni við 15 ára aldur,Lestur,90.5
2003,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,81.7
2003,Karl,Lágmarksfærni við 15 ára aldur,Lestur,73.1
2006,,Lágmarksfærni við 15 ára aldur,Lestur,79.5
2006,,Lágmarksfærni við 15 ára aldur,Stærðfræði,83.2
2006,Kona,Lágmarksfærni við 15 ára aldur,Lestur,87.5
2006,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,84.7
2006,Karl,Lágmarksfærni við 15 ára aldur,Lestur,71.1
2006,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,81.7
2009,,Lágmarksfærni við 15 ára aldur,Lestur,83.2
2009,,Lágmarksfærni við 15 ára aldur,Stærðfræði,83.1
2009,Kona,Lágmarksfærni við 15 ára aldur,Lestur,90.1
2009,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,84.0
2009,Karl,Lágmarksfærni við 15 ára aldur,Lestur,76.2
2009,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,82.2
2012,,Lágmarksfærni við 15 ára aldur,Lestur,79.0
2012,,Lágmarksfærni við 15 ára aldur,Stærðfræði,78.5
2012,Kona,Lágmarksfærni við 15 ára aldur,Lestur,88.0
2012,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,80.3
2012,Karl,Lágmarksfærni við 15 ára aldur,Lestur,70.2
2012,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,76.8
2015,,Lágmarksfærni við 15 ára aldur,Lestur,77.9
2015,,Lágmarksfærni við 15 ára aldur,Stærðfræði,76.4
2015,Kona,Lágmarksfærni við 15 ára aldur,Lestur,84.3
2015,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,77.2
2015,Karl,Lágmarksfærni við 15 ára aldur,Lestur,71.1
2015,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,75.6
2018,,Lágmarksfærni við 15 ára aldur,Lestur,73.6
2018,,Lágmarksfærni við 15 ára aldur,Stærðfræði,80.0
2018,Kona,Lágmarksfærni við 15 ára aldur,Lestur,81.3
2018,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,82.0
2018,Karl,Lágmarksfærni við 15 ára aldur,Lestur,65.6
2018,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,77.0
2022,,Lágmarksfærni við 15 ára aldur,Lestur,60.0
2022,,Lágmarksfærni við 15 ára aldur,Stærðfræði,66.0
2022,Kona,Lágmarksfærni við 15 ára aldur,Lestur,68.0
2022,Kona,Lágmarksfærni við 15 ára aldur,Stærðfræði,66.0
2022,Karl,Lágmarksfærni við 15 ára aldur,Lestur,53.0
2022,Karl,Lágmarksfærni við 15 ára aldur,Stærðfræði,65.0
